Assembly                    bc2121        bc2122         bc2123        bc2124         bc2125        bc2126            bc2127           bc2128            bc2161        bc2162         bc2163        bc2164        bc2165        bc2166        bc2167         bc2168       bc2169         bc2170        bc2171        bc2172          bc2173        bc2174        bc2175       bc2176     
# contigs (>= 0 bp)         644           2121           462           1456           192           3039              4546             3085              499           2002           826           605           795           1351          543            264          2320           726           1066          1275            1039          235           97           80         
# contigs (>= 1000 bp)      644           2121           462           1456           192           3039              4546             3085              499           2002           826           605           795           1351          543            264          2320           726           1066          1275            1039          235           97           80         
# contigs (>= 5000 bp)      643           2121           461           1455           183           2328              2825             2719              498           2002           824           605           795           1351          401            263          2320           726           1066          1187            1038          235           95           79         
# contigs (>= 10000 bp)     640           2110           459           1448           172           379               260              1171              494           1994           822           603           793           1345          398            233          2311           724           1059          1073            1036          235           85           66         
# contigs (>= 25000 bp)     513           1688           355           1149           135           209               187              532               444           1580           632           537           684           1181          301            59           1778           627           979           360             962           189           80           29         
# contigs (>= 50000 bp)     300           836            138           576            101           97                115              116               249           587            289           244           313           681           66             16           674            252           487           81              492           98            69           18         
Total length (>= 0 bp)      66363466      210922174      64902627      140863752      92566542      114569058         128910244        92386496          105928087     181866166      76848011      65247350      102422094     154921777     65950107       40085885     247830322      70971502      133039126     79936471        138506351     85041923      29356424     37845507   
Total length (>= 1000 bp)   66363466      210922174      64902627      140863752      92566542      114569058         128910244        92386496          105928087     181866166      76848011      65247350      102422094     154921777     65950107       40085885     247830322      70971502      133039126     79936471        138506351     85041923      29356424     37845507   
Total length (>= 5000 bp)   66358503      210922174      64897879      140858762      92534490      111310375         121330793        90689331          105923735     181866166      76839746      65247350      102422094     154921777     65425310       40082749     247830322      70971502      133039126     79546934        138503330     85041923      29347572     37841450   
Total length (>= 10000 bp)  66337286      210831535      64880261      140799980      92448009      99984819          106521584        81722219          105888105     181797665      76822468      65231666      102403288     154869900     65402505       39839405     247762272      70954940      132991945     78770493        138492295     85041923      29273242     37739514   
Total length (>= 25000 bp)  63945727      202584540      62810258      134868074      91849315      96996424          105178582        70220501          104875299     173396566      73137181      63937287      100112205     151559983     63427042       37081688     237009503      68891414      131295321     66514666        136926947     84130774      29189487     37234574   
Total length (>= 50000 bp)  56388007      172280322      54973368      114926813      90588802      93178600          102711375        56398860          97733499      137886004      60852233      53356143      86248716      133226692     55214778       35671197     198271279      55357067      112883360     57418978        119264788     80999482      28791360     36877716   
# contigs                   644           2121           462           1456           192           3039              4546             3085              499           2002           826           605           795           1351          543            264          2320           726           1066          1275            1039          235           97           80         
Largest contig              8236992       8223602        8224033       8294254        6916988       8226344           9350955          8217103           8227477       7823068        8228794       5858051       8230273       10953680      5617152        6909559      7026580        6974364       5792769       6917877         7025282       8282683       1886658      6945423    
Total length                66363466      210922174      64902627      140863752      92566542      114569058         128910244        92386496          105928087     181866166      76848011      65247350      102422094     154921777     65950107       40085885     247830322      70971502      133039126     79936471        138506351     85041923      29356424     37845507   
GC (%)                      64.02         60.53          70.72         58.32          51.63         52.56             48.71            54.03             63.64         67.09          56.27         60.89         63.43         58.93         57.60          49.93        65.99          59.91         61.73         51.96           63.74         67.38         47.60        47.51      
N50                         210354        232049         3909435       191555         2300400       2022488           3820664          2109143           4345969       276702         175020        351136        2802445       207085        3081641        4074711      575324         244485        473899        2117933         477207        4256840       648154       4075717    
N90                         37818         35101          37943         33824          476566        6183              5568             6271              58328         31921          32376         36959         40332         41924         35435          36643        32739          33914         42122         18852           43220         161902        163173       1263734    
auN                         1737417.3     1173338.6      3478612.2     1523327.3      2724961.8     2929562.0         3558519.8        3014071.4         3429034.4     1951860.8      2241234.5     1933728.3     2779239.3     1778478.7     2983962.0      3895983.7    2096247.2      2246347.5     1872098.6     2606788.0       2401061.4     4430576.6     733479.6     4157835.1  
L50                         65            140            6             96             13            14                12               9                 10            54             21            17            11            105           8              4            46             22            30            10              24            7             16           4          
L90                         377           1259           218           871            42            864               1819             1388              205           1238           494           370           445           816           166            26           1290           459           637           612             609           43            46           9          
# N's per 100 kbp           0.00          0.00           0.00          0.00           0.00          0.00              0.00             0.00              0.00          0.00           0.00          0.00          0.00          0.00          0.00           0.00         0.00           0.00          0.00          0.00            0.00          0.00          0.00         0.00       
# predicted rRNA genes      100 + 2 part  320 + 20 part  174 + 2 part  167 + 21 part  138 + 8 part  1328 + 2443 part  771 + 1387 part  1018 + 1781 part  241 + 0 part  359 + 13 part  172 + 3 part  132 + 4 part  199 + 4 part  297 + 8 part  124 + 81 part  50 + 9 part  414 + 12 part  169 + 4 part  263 + 3 part  125 + 159 part  236 + 4 part  210 + 1 part  30 + 4 part  53 + 8 part
