# id: 'stats_table'
# section_name: 'Dereplicate bins stats'
# no_beeswarm: True
# plot_type: 'table'
genome_id	genome_name	completeness	contamination	genome_length	genome_N50	contig_count	sum_numreads	sum_meandepth
bc2121_bin_1	s__Streptomyces olivaceus	100.0	0.03	8290288.0	8236992.0	2.0	1197571.0	1254.978932914688
bc2167_bin_185	s__Agrobacterium cavarae	100.0	0.39	5153887.0	2884117.0	6.0	480584.0	636.9650569952978
bc2170_bin_18	s__Streptomyces albidoflavus	100.0	0.33	6974364.0	6974364.0	1.0	406810.0	511.52792259
bc2170_bin_349	g__Advenella	100.0	0.13	4798333.0	4778734.0	2.0	344998.0	708.4342273002289
bc2166_bin_97	s__Brevibacterium sediminis	100.0	0.19	4132946.0	4132946.0	1.0	305290.0	646.5793069599999
bc2173_bin_738	s__Achromobacter mucicolens	100.0	0.05	5853370.0	5211448.0	2.0	294947.0	454.9338011631751
bc2173_bin_86	s__Olivibacter sp036959255	99.99	0.28	6274207.0	6274207.0	1.0	283399.0	487.804688528
bc2163_bin_25	s__Staphylococcus pseudoxylosus	100.0	0.02	2885999.0	2885999.0	1.0	272175.0	851.016719847
bc2124_bin_4	g__Paenibacillus_D	100.0	2.57	8294254.0	8294254.0	1.0	173102.0	184.20210983
bc2123_bin_15	s__Pantoea dispersa	100.0	0.0	4824045.0	4029856.0	3.0	158246.0	309.0298709512373
bc2171_bin_32	s__Pseudomonas_E berkeleyensis	100.0	0.25	5500779.0	5500779.0	1.0	156778.0	314.72516894
bc2173_bin_121	g__Brachybacterium	100.0	0.07	4190485.0	4190485.0	1.0	150862.0	341.29990868
bc2171_bin_29	s__Stenotrophomonas maltophilia_P	100.0	0.0	4181545.0	4181545.0	1.0	140649.0	327.519264629
bc2170_bin_318	s__Priestia megaterium	99.99	0.5	5199724.0	5062286.0	3.0	117989.0	217.43351449577742
bc2122_bin_5	s__Curtobacterium sp005490985	100.0	0.06	3384980.0	3384980.0	1.0	104917.0	266.358709732
bc2169_bin_1242	s__Nocardiopsis flavescens	100.0	0.02	6904792.0	6904792.0	1.0	97378.0	118.589979768
bc2166_bin_50	s__Mammaliicoccus sciuri	99.95	0.34	2845076.0	2845076.0	1.0	91862.0	344.3326611729999
bc2161_bin_273	g__Neorhizobium	100.0	0.01	5630332.0	3897655.0	3.0	90351.0	161.45559857330565
bc2127_bin_4	s__Bacillus altitudinis	100.0	0.0	4489429.0	3740568.0	7.0	87592.0	115.52244524397713
bc2162_bin_52	s__Streptomyces bacillaris	100.0	0.38	7661519.0	4370876.0	3.0	83019.0	92.80209701921167
bc2165_bin_81	s__Agrobacterium tumefaciens_B	99.99	0.0	4782608.0	2802445.0	2.0	78331.0	158.6634829510775
bc2127_bin_6	s__Pseudomonas_B sp913774235	100.0	0.0	5277862.0	5277862.0	1.0	76463.0	106.88729878999999
bc2162_bin_19	s__Pantoea septica	99.98	0.0	4109129.0	4109129.0	1.0	71779.0	156.409053699
