	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2128_lorbin	bin_6	bacteria_odb10	12.1	9.7	2.4	4.0	83.9	124	25538	25538	0.000%	86	21.75	1.97	Neural Network (Specific Model)	11	0.859	25538	305.6017163048965	2106413	0.69	1981	None	1948	1832	86	phylum	0.99	0.93	1.0	0.11	0.25	0.78	0.73	False	86	86	86	77	29	7	2106413	2106413	2106413	2032621	1167059	466449	86	88815	2106413	69.0	25538	14647	34635.4	25	66	0.0
1	bc2126_SemiBin2	SemiBin_0	bacteria_odb10	13.7	12.9	0.8	8.9	77.4	124	7073421	7073421	0.000%	5	100.0	51.8	Gradient Boost (General Model)	11	0.6	7073421	260.6883601788738	29931961	0.54	23033	None	25797	10406	5	kingdom	1.0	0.4	0.24	0.03	0.05	0.76	0.31	True	5	5	5	5	5	5	29931961	29931961	29931961	29931961	29931961	29931961	5	8226344	29931961	54.34	7073421	3971501	6358392.7	2	5	0.0
2	bc2126_SemiBin2	SemiBin_1	bacteria_odb10	3.2	3.2	0.0	8.1	88.7	124	4126864	4126864	0.000%	4	0.01	5.97	Neural Network (Specific Model)	4	0.731	4126864	186.08799713684965	16799494	0.47	22353	None	14824	2753	4	kingdom	1.0	0.19	0.0	0.07	0.15	0.4	0.07	True	4	4	4	4	4	4	16799494	16799494	16799494	16799494	16799494	16799494	4	7135060	16799494	47.4	4126864	1716926	5088560.6	2	4	0.0
3	bc2126_SemiBin2	SemiBin_2	bacteria_odb10	1.6	1.6	0.0	4.0	94.4	124	5534836	5534836	0.000%	1	0.19	3.54	Neural Network (Specific Model)	4	0.734	5534836	193.3421645997745	5534836	0.48	7096	None	4951	925	1	kingdom	1.0	0.19	0.0	0.07	0.16	0.4	0.07	True	1	1	1	1	1	1	5534836	5534836	5534836	5534836	5534836	5534836	1	5534836	5534836	48.17	5534836	5534836	5534836.0	1	1	0.0
4	bc2126_lorbin	bin_0	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	3740568	3740568	0.000%	1	100.0	0.05	Neural Network (Specific Model)	11	0.876	3740568	290.8761626361945	3740568	0.41	3763	None	3778	3706	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.9	0.88	True	1	1	1	1	1	1	3740568	3740568	3740568	3740568	3740568	3740568	1	3740568	3740568	41.37	3740568	3740568	3740568.0	1	1	0.0
5	bc2126_lorbin	bin_1	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8226344	8226344	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.887	8226344	351.6329387990762	8226344	0.73	6928	None	6935	6897	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8226344	8226344	8226344	8226344	8226344	8226344	1	8226344	8226344	72.58	8226344	8226344	8226344.0	1	1	0.0
6	bc2126_lorbin	bin_2	bacteria_odb10	92.7	87.1	5.6	4.0	3.3	124	845206	845206	0.000%	64	87.36	15.48	Neural Network (Specific Model)	11	0.858	845206	318.38700770236886	7648450	0.73	6881	None	6913	6821	64	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.95	True	64	64	64	64	34	14	7648450	7648450	7648450	7648450	7077073	6368220	64	1419218	7648450	73.47	845206	29517	795084.6	4	28	0.0
7	bc2126_lorbin	bin_3	bacteria_odb10	87.1	87.1	0.0	2.4	10.5	124	83112	83112	0.000%	78	81.54	1.27	Neural Network (Specific Model)	11	0.871	83112	289.04434180138566	4298024	0.58	4330	None	4327	4208	78	genus	0.97	0.94	0.12	0.07	0.14	0.96	0.91	True	78	78	78	78	64	32	4298024	4298024	4298024	4298024	4058138	2995897	78	208744	4298024	58.28	83112	28416	84772.0	19	57	0.0
8	bc2126_lorbin	bin_4	bacteria_odb10	55.6	55.6	0.0	9.7	34.7	124	33027	33027	0.000%	62	42.75	0.04	Neural Network (Specific Model)	11	0.837	33027	274.46325051759834	1896814	0.7	1932	None	1921	1859	62	genus	0.99	0.96	0.11	0.09	0.2	0.97	0.93	True	62	62	62	62	37	3	1896814	1896814	1896814	1896814	1405807	210623	62	86239	1896814	70.06	33027	20281	36434.8	22	51	0.0
9	bc2126_lorbin	bin_5	bacteria_odb10	5.6	5.6	0.0	12.9	81.5	124	5203680	5203680	0.000%	9	0.0	36.61	Neural Network (Specific Model)	4	0.732	5203680	187.0559044689396	35317529	0.48	46812	None	30707	5588	9	kingdom	1.0	0.18	0.0	0.08	0.16	0.4	0.07	True	9	9	9	9	9	9	35317529	35317529	35317529	35317529	35317529	35317529	9	7035392	35317529	47.55	5203680	2022488	5028640.7	3	7	0.0
