	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2121_lorbin	bin_5	bacteria_odb10	50.0	48.4	1.6	4.0	46.0	124	34279	34279	0.000%	105	42.87	5.97	Neural Network (Specific Model)	11	0.835	34279	280.79774252593046	3291975	0.73	3278	None	3235	3038	105	family	0.91	0.85	0.96	0.54	1.48	0.87	0.74	False	105	105	105	105	68	7	3291975	3291975	3291975	3291975	2557259	421925	105	68626	3291975	72.5	34279	21201	35934.4	37	86	0.0
1	bc2122_metawgs	bc2122_metaWGS_bin_499	bacteria_odb10	51.6	38.7	12.9	12.9	35.5	124	43186	43186	0.000%	144	63.23	5.07	Neural Network (Specific Model)	11	0.823	43186	273.5363377271108	5575132	0.72	5614	None	5495	5160	144	genus	0.96	0.9	0.97	0.1	0.21	0.86	0.77	False	144	144	144	144	109	28	5575132	5575132	5575132	5575132	4912771	2055366	144	192110	5575132	72.2	43186	23457	52637.4	44	114	0.0
2	bc2122_metawgs	bc2122_metaWGS_bin_754	bacteria_odb10	60.4	42.7	17.7	5.6	34.0	124	95667	95667	0.000%	62	57.54	11.66	Gradient Boost (General Model)	11	0.859	95667	315.1998856162425	3842321	0.72	3497	None	3515	3392	62	family	0.91	0.88	0.99	0.41	1.09	0.83	0.73	False	62	62	62	61	49	24	3842321	3842321	3842321	3834802	3593376	2759170	62	303599	3842321	72.33	95667	28209	112160.2	13	45	0.0
3	bc2123_HifiMAG	semibin2_12	bacteria_odb10	14.5	14.5	0.0	5.6	79.9	124	48050	48050	0.000%	8	6.77	0.07	Neural Network (Specific Model)	11	0.855	48050	252.55172413793105	332490	0.69	377	None	367	332	8	genus	0.72	0.65	0.74	0.32	1.04	0.85	0.55	False	8	8	8	8	6	2	332490	332490	332490	332490	287938	128328	8	68908	332490	69.16	48050	24855	47544.2	3	7	0.0
4	bc2123_lorbin	bin_10	bacteria_odb10	26.6	25.0	1.6	6.5	66.9	124	35646	35646	0.000%	96	28.43	2.84	Neural Network (Specific Model)	11	0.782	35646	251.8644224830142	3113242	0.69	3238	None	3253	2578	96	genus	0.8	0.63	0.93	0.69	3.23	0.85	0.54	False	96	96	96	96	72	4	3113242	3113242	3113242	3113242	2650231	250483	96	82289	3113242	68.74	35646	23077	36317.1	37	79	0.0
5	bc2123_lorbin	bin_11	bacteria_odb10	39.5	38.7	0.8	6.5	54.0	124	45261	45261	0.000%	92	46.91	3.77	Gradient Boost (General Model)	11	0.822	45261	254.37286980231767	4062781	0.58	4401	None	4542	3776	90	genus	0.74	0.62	0.95	0.6	2.62	0.86	0.53	False	92	92	91	90	69	15	4062781	4062781	4058033	4049377	3625870	1633262	92	752618	4062781	57.93	45261	23314	175141.2	24	71	0.0
6	bc2123_metawgs	bc2123_metaWGS_bin_354	bacteria_odb10	42.8	33.9	8.9	8.1	49.1	124	38369	38369	0.000%	136	64.17	7.39	Gradient Boost (General Model)	11	0.832	38369	266.26777114236177	4963620	0.72	5191	None	5074	4828	136	genus	0.9	0.85	0.95	0.28	0.84	0.81	0.69	False	136	136	136	136	96	23	4963620	4963620	4963620	4963620	4140698	1534469	136	135370	4963620	72.22	38369	23543	45329.6	45	110	0.0
7	bc2123_metawgs	bc2123_metaWGS_bin_556	bacteria_odb10	34.7	33.9	0.8	6.5	58.8	124	39943	39943	0.000%	96	55.67	4.14	Gradient Boost (General Model)	11	0.795	39943	230.7387144259077	3525599	0.58	4076	None	4083	2865	94	genus	0.68	0.48	0.89	0.42	1.33	0.81	0.39	False	96	96	96	96	75	13	3525599	3525599	3525599	3525599	3093316	827532	96	128175	3525599	58.4	39943	23314	43248.9	34	79	0.0
8	bc2121_HifiMAG	complete_3	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	6193895	6193895	0.000%	1	99.93	0.14	Neural Network (Specific Model)	11	0.858	6193895	333.1924088688463	6193895	0.7	5322	None	5291	5176	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.86	0.84	True	1	1	1	1	1	1	6193895	6193895	6193895	6193895	6193895	6193895	1	6193895	6193895	69.85	6193895	6193895	6193895.0	1	1	0.0
9	bc2121_HifiMAG	complete_4	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8236991	8236991	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.887	8236991	351.7533890972022	8236991	0.73	6934	None	6943	6903	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8236991	8236991	8236991	8236991	8236991	8236991	1	8236991	8236991	72.57	8236991	8236991	8236991.0	1	1	0.0
