	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2161_HifiMAG	semibin2_25	bacteria_odb10	16.1	16.1	0.0	0.8	83.1	124	45948	45948	0.000%	26	12.34	0.51	Neural Network (Specific Model)	11	0.831	45948	265.3818525519849	1009601	0.72	1058	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (9.6%)	1038	902	26	genus	0.81	0.71	0.92	0.56	1.6	0.85	0.6	False	26	26	26	26	19	4	1009601	1009601	1009601	1009601	877182	279687	26	100969	1009601	71.65	45948	21138	47718.0	9	21	0.0
1	bc2161_HifiMAG	semibin2_8	bacteria_odb10	45.9	43.5	2.4	14.5	39.6	124	48355	48355	0.000%	68	55.55	7.77	Gradient Boost (General Model)	11	0.848	48355	246.98998051767325	3122940	0.65	3593	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__											d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001650025.1, s__Devosia elaeis, 95.0, 86.02, 0.206	42.98	11.0	0.95746		3526	3332	68	order	0.94	0.89	0.99	0.25	0.59	0.83	0.74	False	68	68	68	68	63	24	3122940	3122940	3122940	3122940	3009934	1560091	68	116283	3122940	65.23	48355	30548	52496.2	25	56	0.0
2	bc2161_lorbin	bin_11	bacteria_odb10	64.5	63.7	0.8	8.1	27.4	124	114052	114052	0.000%	54	66.37	2.38	Neural Network (Specific Model)	11	0.837	114052	255.3753760703541	3933396	0.51	4321	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__						GCF_000506985.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__Advenella kashmirensis_A	90.87	0.617	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		61.13	11.0	0.99565	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	4183	3947	54	class	0.95	0.89	0.99	0.13	0.3	0.89	0.79	False	54	54	54	54	46	25	3933396	3933396	3933396	3933396	3777688	3057516	54	469811	3933396	50.63	114052	32828	142776.9	12	38	0.0
3	bc2161_lorbin	bin_17	bacteria_odb10	37.9	37.9	0.0	8.9	53.2	124	73244	73244	0.000%	28	42.11	0.15	Neural Network (Specific Model)	11	0.881	73244	268.103982300885	1641039	0.68	1808	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__						GCF_014205075.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium ginsengiterrae	82.82	0.278	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_903645325.1, s__Microbacterium ihumii, 95.0, 85.43, 0.37; GCF_918698005.1, s__Microbacterium sp918698005, 95.0, 84.7, 0.372; GCF_007988825.1, s__Microbacterium aerolatum, 95.0, 84.65, 0.38; GCF_015277895.1, s__Microbacterium sp015277895, 95.0, 84.61, 0.393; GCF_014635185.1, s__Microbacterium murale, 95.0, 82.46, 0.287; GCF_000763375.1, s__Microbacterium profundi, 95.0, 82.18, 0.251; GCF_030815955.1, s__Microbacterium murale_A, 95.0, 82.17, 0.259; GCF_947632095.1, s__Microbacterium sp947632095, 95.0, 81.47, 0.177; GCF_023101185.1, s__Microbacterium sp017405925, 95.0, 81.44, 0.179; GCF_024807145.1, s__Microbacterium sp024807145, 95.0, 81.39, 0.226; GCF_017355365.1, s__Microbacterium sp017355365, 95.0, 81.38, 0.193; GCF_003075395.1, s__Microbacterium sp003075395, 95.0, 81.35, 0.19; GCF_019969685.1, s__Microbacterium sp019969685, 95.0, 81.3, 0.201; GCF_008868005.1, s__Microbacterium algeriense, 95.0, 81.3, 0.169; GCF_017939615.1, s__Microbacterium sp017939615, 95.0, 81.29, 0.175; GCF_030407765.1, s__Microbacterium sp030407765, 95.0, 81.27, 0.158; GCF_023101165.1, s__Microbacterium sp004794315, 95.0, 81.25, 0.185; GCF_030268005.1, s__Microbacterium arabinogalactanolyticum, 95.0, 81.24, 0.154; GCF_001262495.1, s__Microbacterium sp001262495, 95.0, 81.21, 0.184; GCF_004794465.1, s__Microbacterium sp004794465, 95.0, 81.17, 0.19; GCF_011752045.1, s__Microbacterium sp001639925, 95.0, 81.16, 0.177; GCF_019056515.1, s__Microbacterium sp001595495, 95.0, 81.14, 0.186; GCF_028751685.1, s__Microbacterium luteolum, 95.0, 81.14, 0.18; GCF_001423615.1, s__Microbacterium sp001423615, 95.0, 81.05, 0.181; GCF_001866135.1, s__Microbacterium sp001866135, 95.0, 81.02, 0.174; GCF_015040615.1, s__Microbacterium sp015040615, 95.0, 81.0, 0.155; GCF_900105335.1, s__Microbacterium paraoxydans, 95.0, 80.95, 0.169; GCF_002362255.1, s__Microbacterium sp002362255, 95.0, 80.93, 0.17; GCF_026559675.1, s__Microbacterium oxydans_D, 95.0, 80.89, 0.182; GCF_017876435.1, s__Microbacterium phyllosphaerae, 95.0, 80.85, 0.173; GCF_002979655.1, s__Microbacterium sp002979655, 95.0, 80.82, 0.169; GCF_030816505.1, s__Microbacterium sp030816505, 95.0, 80.81, 0.182; GCF_904066215.1, s__Microbacterium sp002456035, 95.0, 80.81, 0.161; GCF_001650405.1, s__Microbacterium sp001650405, 95.0, 80.81, 0.159; GCF_002979415.1, s__Microbacterium sp002979415, 95.0, 80.74, 0.169; GCF_014171575.1, s__Microbacterium sp014171575, 95.0, 80.74, 0.163; GCF_001423485.1, s__Microbacterium sp001423485, 95.0, 80.71, 0.179; GCF_001889265.1, s__Microbacterium sp001889265, 95.0, 80.7, 0.17; GCF_018224615.1, s__Microbacterium paraoxydans_B, 95.0, 80.64, 0.171; GCF_002872075.1, s__Microbacterium kitamiense, 95.0, 80.64, 0.16; GCF_002024885.1, s__Microbacterium foliorum_A, 95.0, 80.63, 0.161; GCF_002979475.1, s__Microbacterium sp002979475, 95.0, 80.62, 0.153; GCF_006385575.1, s__Microbacterium foliorum_B, 95.0, 80.58, 0.17; GCF_023715885.1, s__Microbacterium hydrocarbonoxydans_C, 95.0, 80.58, 0.168; GCF_002848265.1, s__Microbacterium sp002848265, 95.0, 80.57, 0.161; GCF_002979435.1, s__Microbacterium sp002979435, 95.0, 80.57, 0.16; GCF_022627955.1, s__Microbacterium sp022627955, 95.0, 80.56, 0.192; GCF_025143365.1, s__Microbacterium sp025143365, 95.0, 80.49, 0.156; GCA_029959905.1, s__Microbacterium sp029959905, 95.0, 80.41, 0.152; GCF_000956475.1, s__Microbacterium hydrocarbonoxydans_A, 95.0, 80.4, 0.156; GCF_025836995.1, s__Microbacterium sp025836995, 95.0, 80.39, 0.166; GCF_001049495.1, s__Microbacterium sp001049495, 95.0, 80.35, 0.174; GCF_001426995.1, s__Microbacterium sp001426995, 95.0, 80.35, 0.172; GCA_008868125.1, s__Microbacterium maritypicum, 95.0, 80.33, 0.159; GCF_003367705.1, s__Microbacterium foliorum, 95.0, 80.32, 0.161; GCA_029203165.1, s__Microbacterium colombiense, 95.0, 80.3, 0.158; GCF_007667425.1, s__Microbacterium sp007667425, 95.0, 80.26, 0.15; GCF_004794515.1, s__Microbacterium sp004794515, 95.0, 80.25, 0.157; GCF_000967865.1, s__Microbacterium sp000967865, 95.0, 80.18, 0.152; GCF_001513675.1, s__Microbacterium sp001513675, 95.0, 80.16, 0.166; GCF_900105205.1, s__Microbacterium hydrocarbonoxydans, 95.0, 80.16, 0.16; GCF_900095745.1, s__Microbacterium oxydans_B, 95.0, 80.13, 0.155	44.15	11.0	0.989		1776	1687	28	class	0.99	0.94	1.0	0.02	0.05	0.81	0.76	False	28	28	27	27	23	13	1641039	1641039	1636687	1636687	1550030	1184406	28	234946	1641039	68.19	73244	30460	91830.1	8	21	0.0
4	bc2161_lorbin	bin_18	bacteria_odb10	32.2	28.2	4.0	7.3	60.5	124	379601	379601	0.000%	10	41.75	8.08	Neural Network (Specific Model)	11	0.928	379601	316.21079571893904	2190968	0.69	2149	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		23.71	11.0	0.98833		2156	2084	10	family	0.84	0.81	0.92	0.09	0.19	0.79	0.65	False	10	10	10	10	10	6	2190968	2190968	2190968	2190968	2190968	2049627	10	1080194	2190968	68.55	379601	100289	649277.2	2	5	0.0
5	bc2161_lorbin	bin_19	bacteria_odb10	18.5	16.9	1.6	4.8	76.7	124	57733	57733	0.000%	33	28.6	2.03	Neural Network (Specific Model)	11	0.851	57733	275.78172043010755	1802518	0.7	1860	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei	GCF_004519295.1	95.74	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei	98.55	0.572	GCF_004519295.1	95.74	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei	98.55	0.572	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003052455.1, s__Cellulosimicrobium cinnabarinum, 95.0, 95.72, 0.546; GCF_001019615.1, s__Cellulosimicrobium cellulans_E, 95.0, 90.27, 0.405; GCF_016921195.1, s__Cellulosimicrobium cellulans_F, 95.0, 89.93, 0.375; GCF_006539945.1, s__Cellulosimicrobium cellulans, 95.0, 89.66, 0.398; GCF_024124905.1, s__Cellulosimicrobium cellulans_G, 95.0, 89.63, 0.374; GCF_016907755.1, s__Cellulosimicrobium cellulans_D, 95.0, 89.59, 0.391; GCF_009708005.2, s__Cellulosimicrobium protaetiae, 95.0, 89.21, 0.377; GCF_009711085.1, s__Cellulosimicrobium composti, 95.0, 88.57, 0.357; GCA_029256625.1, s__Cellulosimicrobium sp029256625, 95.0, 88.19, 0.302; GCF_943181405.1, s__Cellulosimicrobium sp943181405, 95.0, 84.17, 0.202; GCF_001722485.1, s__Cellulosimicrobium cellulans_A, 95.0, 83.9, 0.161; GCF_020551945.1, s__Cellulosimicrobium marinum, 95.0, 83.81, 0.183; GCA_014803435.1, s__Cellulosimicrobium terreum, 95.0, 83.16, 0.161	16.58	11.0			1841	1755	33	order	0.96	0.92	1.0	0.41	0.93	0.89	0.82	False	33	33	33	32	30	16	1802518	1802518	1802518	1792628	1756191	1227855	33	252539	1802518	70.3	57733	33457	83718.3	10	26	0.0
6	bc2161_lorbin	bin_23	bacteria_odb10	30.6	29.0	1.6	4.8	64.6	124	496557	496557	0.000%	39	65.75	6.19	Neural Network (Specific Model)	11	0.868	496557	316.61638818951707	4772238	0.61	4369	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__											d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004217095.1, s__Advenella incenata, 95.0, 87.62, 0.198; GCF_000219915.2, s__Advenella kashmirensis, 95.0, 86.25, 0.189; GCF_014897675.1, s__Advenella sp003533245, 95.0, 86.2, 0.188	35.07	11.0	0.98865		4341	4188	39	phylum	1.0	0.96	0.98	0.15	0.33	0.85	0.82	False	39	39	39	38	33	20	4772238	4772238	4772238	4762412	4652979	4160555	39	1236120	4772238	60.68	496557	44403	532077.3	3	23	0.0
7	bc2162_HifiMAG	semibin2_42	bacteria_odb10	36.3	26.6	9.7	2.4	61.3	124	74382	74382	0.000%	47	20.32	5.55	Neural Network (Specific Model)	11	0.829	74382	277.54603427660425	2509498	0.71	2509	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		24.65	11.0	0.88533		2457	2245	47	class	0.99	0.9	0.98	0.46	0.99	0.8	0.72	False	47	47	47	46	31	6	2509498	2509498	2509498	2502903	2212856	1356406	47	546432	2509498	70.69	74382	24116	246141.0	5	33	0.0
8	bc2162_HifiMAG	semibin2_4_sub	bacteria_odb10	82.3	82.3	0.0	2.4	15.3	124	1116627	1116627	0.000%	9	81.08	0.41	Neural Network (Specific Model)	11	0.855	1116627	329.40021739130435	5308769	0.74	4600	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis flavescens	GCF_900141985.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis flavescens	97.57	0.887	GCF_900141985.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis flavescens	97.57	0.887	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018316655.1, s__Nocardiopsis changdeensis, 95.0, 89.66, 0.588; GCF_030766825.1, s__Nocardiopsis sp030766825, 95.0, 88.98, 0.525; GCF_028882275.1, s__Nocardiopsis sp028882275, 95.0, 86.12, 0.424; GCF_014203695.1, s__Nocardiopsis algeriensis, 95.0, 83.57, 0.205; GCA_000340945.1, s__Nocardiopsis synnemataformans, 95.0, 83.5, 0.225; GCF_009830945.1, s__Nocardiopsis sp009830945, 95.0, 83.43, 0.211; GCF_001905145.1, s__Nocardiopsis sp001905145, 95.0, 83.41, 0.215; GCA_002529455.1, s__Nocardiopsis fusca, 95.0, 83.39, 0.23; GCF_000341065.1, s__Nocardiopsis halotolerans, 95.0, 83.31, 0.18; GCF_000092985.1, s__Nocardiopsis dassonvillei, 95.0, 83.05, 0.227; GCF_008638365.1, s__Nocardiopsis quinghaiensis, 95.0, 83.04, 0.204; GCF_012396365.1, s__Nocardiopsis alborubida, 95.0, 82.98, 0.228; GCF_008638415.1, s__Nocardiopsis sinuspersici, 95.0, 82.94, 0.197; GCF_026642255.1, s__Nocardiopsis nanhaiensis_A, 95.0, 82.73, 0.222; GCF_000341265.1, s__Nocardiopsis prasina, 95.0, 82.45, 0.173; GCF_003634495.1, s__Nocardiopsis sp003634495, 95.0, 82.38, 0.167; GCF_030555055.1, s__Nocardiopsis sp030555055, 95.0, 82.3, 0.16; GCA_018388625.1, s__Nocardiopsis eucommiae, 95.0, 82.28, 0.168; GCF_013410755.1, s__Nocardiopsis aegyptia, 95.0, 82.26, 0.166; GCF_001279585.1, s__Nocardiopsis sp001279585, 95.0, 82.17, 0.161; GCF_003386285.1, s__Nocardiopsis sp003386285, 95.0, 81.98, 0.155; GCF_018207095.1, s__Nocardiopsis sp018207095, 95.0, 81.87, 0.163; GCF_014651695.1, s__Nocardiopsis terrae, 95.0, 81.86, 0.16; GCF_000341085.1, s__Nocardiopsis ganjiahuensis, 95.0, 81.75, 0.184; GCF_900143625.1, s__Nocardiopsis sp900143625, 95.0, 81.72, 0.155; GCF_000341225.1, s__Nocardiopsis alba, 95.0, 81.55, 0.153	81.09	11.0			4638	4550	9	genus	0.98	0.96	0.55	0.02	0.05	0.95	0.91	False	9	9	9	9	9	6	5308769	5308769	5308769	5308769	5308769	5225379	9	2206093	5308769	74.04	1116627	581293	1391717.2	2	4	0.0
9	bc2162_lorbin	bin_79	bacteria_odb10	1.6	1.6	0.0	1.6	96.8	124	43674	43674	0.000%	35	14.72	0.38	Neural Network (Specific Model)	11	0.837	43674	267.48607975921743	1269429	0.7	1329	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.6%)	1290	1169	35	class	0.99	0.9	0.99	0.16	0.37	0.78	0.7	False	35	35	35	35	24	5	1269429	1269429	1269429	1269429	1073869	377836	35	124870	1269429	69.97	43674	22646	48919.6	11	27	0.0
