	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2161_SemiBin2	SemiBin_14	bacteria_odb10	16.1	16.1	0.0	2.4	81.5	124	496557	496557	0.000%	2	14.78	0.01	Neural Network (Specific Model)	11	0.846	496557	276.6093916755603	915677	0.56	937	None	903	848	2	class	0.98	0.92	0.94	0.49	1.0	0.85	0.79	False	2	2	2	2	2	2	915677	915677	915677	915677	915677	915677	2	496557	915677	56.31	496557	419120	461112.8	1	2	0.0
1	bc2161_lorbin	bin_11	bacteria_odb10	64.5	63.7	0.8	8.1	27.4	124	114052	114052	0.000%	54	66.37	2.38	Neural Network (Specific Model)	11	0.837	114052	255.3753760703541	3933396	0.51	4321	None	4183	3947	54	class	0.95	0.89	0.99	0.13	0.3	0.89	0.79	False	54	54	54	54	46	25	3933396	3933396	3933396	3933396	3777688	3057516	54	469811	3933396	50.63	114052	32828	142776.9	12	38	0.0
2	bc2161_lorbin	bin_17	bacteria_odb10	37.9	37.9	0.0	8.9	53.2	124	73244	73244	0.000%	28	42.11	0.15	Neural Network (Specific Model)	11	0.881	73244	268.103982300885	1641039	0.68	1808	None	1776	1687	28	class	0.99	0.94	1.0	0.02	0.05	0.81	0.76	False	28	28	27	27	23	13	1641039	1641039	1636687	1636687	1550030	1184406	28	234946	1641039	68.19	73244	30460	91830.1	8	21	0.0
3	bc2161_lorbin	bin_18	bacteria_odb10	32.2	28.2	4.0	7.3	60.5	124	379601	379601	0.000%	10	41.75	8.08	Neural Network (Specific Model)	11	0.928	379601	316.21079571893904	2190968	0.69	2149	None	2156	2084	10	family	0.84	0.81	0.92	0.09	0.19	0.79	0.65	False	10	10	10	10	10	6	2190968	2190968	2190968	2190968	2190968	2049627	10	1080194	2190968	68.55	379601	100289	649277.2	2	5	0.0
4	bc2161_lorbin	bin_19	bacteria_odb10	18.5	16.9	1.6	4.8	76.7	124	57733	57733	0.000%	33	28.6	2.03	Neural Network (Specific Model)	11	0.851	57733	275.78172043010755	1802518	0.7	1860	None	1841	1755	33	order	0.96	0.92	1.0	0.41	0.93	0.89	0.82	False	33	33	33	32	30	16	1802518	1802518	1802518	1792628	1756191	1227855	33	252539	1802518	70.3	57733	33457	83718.3	10	26	0.0
5	bc2161_lorbin	bin_23	bacteria_odb10	30.6	29.0	1.6	4.8	64.6	124	496557	496557	0.000%	39	65.75	6.19	Neural Network (Specific Model)	11	0.868	496557	316.61638818951707	4772238	0.61	4369	None	4341	4188	39	phylum	1.0	0.96	0.98	0.15	0.33	0.85	0.82	False	39	39	39	38	33	20	4772238	4772238	4772238	4762412	4652979	4160555	39	1236120	4772238	60.68	496557	44403	532077.3	3	23	0.0
6	bc2162_lorbin	bin_79	bacteria_odb10	1.6	1.6	0.0	1.6	96.8	124	43674	43674	0.000%	35	14.72	0.38	Neural Network (Specific Model)	11	0.837	43674	267.48607975921743	1269429	0.7	1329	None	1290	1169	35	class	0.99	0.9	0.99	0.16	0.37	0.78	0.7	False	35	35	35	35	24	5	1269429	1269429	1269429	1269429	1073869	377836	35	124870	1269429	69.97	43674	22646	48919.6	11	27	0.0
7	bc2164_SemiBin2	SemiBin_16	bacteria_odb10	14.5	12.9	1.6	0.0	85.5	124	181040	181040	0.000%	9	20.42	1.23	Neural Network (Specific Model)	11	0.856	181040	315.96111580726966	1306871	0.72	1183	None	1199	1148	9	order	0.99	0.95	1.0	0.37	0.88	0.87	0.82	False	9	9	9	9	9	8	1306871	1306871	1306871	1306871	1306871	1274533	9	249567	1306871	72.37	181040	106199	176746.3	3	7	0.0
8	bc2164_SemiBin2	SemiBin_17	bacteria_odb10	3.2	3.2	0.0	1.6	95.2	124	166674	166674	0.000%	4	8.35	0.0	Neural Network (Specific Model)	11	0.885	166674	376.1260162601626	313183	0.55	246	None	241	239	4	order	0.97	0.97	1.0	0.22	0.52	0.93	0.9	False	4	4	4	4	4	3	313183	313183	313183	313183	313183	287635	4	166674	313183	55.21	166674	57856	114190.4	1	3	0.0
9	bc2164_SemiBin2	SemiBin_2	bacteria_odb10	95.9	78.2	17.7	1.6	2.5	124	730605	730605	0.000%	20	97.58	23.84	Gradient Boost (General Model)	11	0.903	730605	306.95310842350943	4791281	0.64	4713	None	4667	4413	20	family	0.85	0.8	0.59	0.42	1.18	0.74	0.59	False	20	20	20	20	20	18	4791281	4791281	4791281	4791281	4791281	4716268	20	1212479	4791281	63.71	730605	73784	672536.6	3	12	0.0
