	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2169_SemiBin2	SemiBin_17	bacteria_odb10	61.3	61.3	0.0	1.6	37.1	124	3223821	3223821	0.000%	2	67.17	0.03	Neural Network (Specific Model)	11	0.884	3223821	314.9252767527675	3469381	0.55	3252	None	3192	3114	2	genus	0.85	0.83	0.9	0.06	0.13	0.91	0.76	False	2	2	2	2	2	2	3469381	3469381	3469381	3469381	3469381	3469381	2	3223821	3469381	55.03	3223821	3223821	3013022.1	1	1	0.0
1	bc2169_SemiBin2	SemiBin_39	bacteria_odb10	29.8	29.0	0.8	3.2	67.0	124	107901	107901	0.000%	9	18.67	0.5	Neural Network (Specific Model)	11	0.865	107901	293.93923789907313	986906	0.71	971	None	969	932	9	order	0.96	0.92	0.86	0.29	0.73	0.83	0.77	False	9	9	9	9	9	7	986906	986906	986906	986906	986906	904990	9	273652	986906	70.82	107901	55069	163826.3	3	7	0.0
2	bc2169_SemiBin2	SemiBin_43	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	46712	46712	0.000%	6	5.52	0.04	Neural Network (Specific Model)	11	0.861	46712	292.79359430604984	285522	0.73	281	None	283	278	6	genus	0.93	0.91	0.47	0.03	0.06	0.96	0.88	False	6	6	6	6	6	2	285522	285522	285522	285522	285522	139932	6	70526	285522	73.43	46712	31518	53372.7	3	6	0.0
3	bc2169_SemiBin2	SemiBin_61	bacteria_odb10	12.9	12.9	0.0	0.8	86.3	124	195128	195128	0.000%	10	17.58	0.29	Neural Network (Specific Model)	11	0.875	195128	311.77246207701285	913610	0.69	857	None	854	812	10	class	0.99	0.94	0.97	0.53	1.74	0.76	0.72	False	10	10	10	10	9	6	913610	913610	913610	913610	893003	765647	10	302918	913610	68.97	195128	43765	169096.0	2	8	0.0
4	bc2169_SemiBin2	SemiBin_69	bacteria_odb10	15.3	15.3	0.0	2.4	82.3	124	99135	99135	0.000%	18	16.38	0.0	Neural Network (Specific Model)	11	0.851	99135	271.26254826254825	985944	0.74	1036	None	1013	985	18	order	0.96	0.94	0.84	0.05	0.12	0.91	0.85	False	18	18	18	18	14	5	985944	985944	985944	985944	900829	575170	18	174549	985944	74.36	99135	27235	87536.5	4	14	0.0
5	bc2169_lorbin	bin_19	bacteria_odb10	76.6	71.8	4.8	10.5	12.9	124	58401	58401	0.000%	81	80.03	10.94	Gradient Boost (General Model)	11	0.888	58401	282.35969738651994	4144911	0.65	4362	None	4352	4177	81	family	0.92	0.89	0.79	0.23	0.58	0.89	0.78	False	81	81	81	81	67	24	4144911	4144911	4144911	4144911	3869868	2268969	81	173955	4144911	64.52	58401	29040	76456.9	21	63	0.0
6	bc2169_lorbin	bin_30	bacteria_odb10	48.4	41.1	7.3	5.6	46.0	124	54874	54874	0.000%	54	44.47	4.74	Gradient Boost (General Model)	11	0.867	54874	306.7130281690141	2405185	0.72	2272	None	2287	2204	54	genus	0.93	0.89	0.46	0.03	0.07	0.83	0.74	False	54	54	54	54	40	12	2405185	2405185	2405185	2405185	2138786	1261131	54	469386	2405185	72.09	54874	23894	130507.5	11	42	0.0
7	bc2169_lorbin	bin_37	bacteria_odb10	58.1	57.3	0.8	7.3	34.6	124	52652	52652	0.000%	43	58.15	0.89	Gradient Boost (General Model)	11	0.858	52652	289.8896987366375	2080439	0.67	2058	None	2062	1971	43	order	0.96	0.92	0.82	0.02	0.05	0.81	0.74	False	43	43	43	43	36	14	2080439	2080439	2080439	2080439	1931046	1172974	43	170695	2080439	66.64	52652	27462	70572.6	12	34	0.0
8	bc2169_lorbin	bin_46	bacteria_odb10	25.0	25.0	0.0	2.4	72.6	124	36276	36276	0.000%	7	4.25	0.09	Neural Network (Specific Model)	11	0.884	36276	290.69458128078816	199731	0.69	203	None	202	188	7	order	0.95	0.88	0.65	0.42	1.28	0.73	0.64	False	7	7	7	7	4	0	199731	199731	199731	199731	141780	0	7	39911	199731	69.33	36276	18757	31329.2	3	6	0.0
9	bc2169_lorbin	bin_50	bacteria_odb10	23.4	23.4	0.0	4.8	71.8	124	49446	49446	0.000%	52	39.88	2.5	Neural Network (Specific Model)	11	0.829	49446	250.81569602272728	2540074	0.54	2816	None	2690	2239	52	order	0.85	0.71	0.84	0.23	0.55	0.82	0.58	False	52	52	52	52	39	9	2540074	2540074	2540074	2540074	2302928	1219656	52	324208	2540074	54.27	49446	25081	122518.5	11	39	0.0
10	bc2169_lorbin	bin_57	bacteria_odb10	31.4	29.8	1.6	4.8	63.8	124	34856	34856	0.000%	147	39.68	6.67	Gradient Boost (General Model)	11	0.854	34856	284.5281905149604	4891287	0.72	4913	None	4821	4510	147	genus	0.76	0.71	0.96	0.51	1.87	0.9	0.64	False	147	147	147	145	91	16	4891287	4891287	4891287	4875490	3838864	1344912	147	369133	4891287	71.85	34856	20093	63277.8	43	116	0.0
11	bc2169_lorbin	bin_63	bacteria_odb10	8.9	8.9	0.0	2.4	88.7	124	37060	37060	0.000%	35	21.45	0.11	Neural Network (Specific Model)	11	0.885	37060	277.7442231075697	1176468	0.67	1255	None	1245	1183	35	genus	0.68	0.64	0.6	0.24	0.67	0.78	0.5	False	35	35	35	35	26	3	1176468	1176468	1176468	1176468	993042	184538	35	68189	1176468	66.85	37060	22271	37957.8	13	29	0.0
12	bc2169_lorbin	bin_85	bacteria_odb10	16.9	12.1	4.8	0.8	82.3	124	36865	36865	0.000%	49	23.35	2.5	Neural Network (Specific Model)	11	0.861	36865	282.12391430225824	1691753	0.66	1727	None	1725	1677	49	order	0.97	0.95	1.0	0.02	0.05	0.88	0.83	False	49	49	49	49	31	9	1691753	1691753	1691753	1691753	1332440	581440	49	83898	1691753	66.1	36865	21027	43020.7	16	40	0.0
13	bc2169_lorbin	bin_94	bacteria_odb10	14.5	12.9	1.6	5.6	79.9	124	45453	45453	0.000%	413	48.99	45.27	Gradient Boost (General Model)	11	0.743	45453	195.70484229977745	18659999	0.6	23811	None	24045	10415	406	phylum	0.92	0.4	0.7	0.22	0.57	0.73	0.29	False	413	413	413	409	273	59	18659999	18659999	18659999	18630159	15889548	8681461	413	1235226	18659999	59.67	45453	22910	262557.8	73	311	0.0
14	bc2170_SemiBin2	SemiBin_20	bacteria_odb10	12.9	12.9	0.0	0.8	86.3	124	40102	40102	0.000%	7	4.93	0.0	Neural Network (Specific Model)	11	0.842	40102	256.55	254258	0.71	280	None	261	250	7	family	0.98	0.93	1.0	0.08	0.18	0.88	0.83	False	7	7	7	7	7	1	254258	254258	254258	254258	254258	57835	7	57835	254258	71.28	40102	25744	39560.4	3	7	0.0
15	bc2170_SemiBin2	SemiBin_9	bacteria_odb10	13.7	13.7	0.0	4.0	82.3	124	36900	36900	0.000%	34	13.6	0.21	Neural Network (Specific Model)	11	0.806	36900	254.5875420875421	1118262	0.73	1188	None	1129	1058	34	family	0.95	0.89	0.72	0.03	0.06	0.79	0.7	False	34	34	34	34	25	2	1118262	1118262	1118262	1118262	945811	113542	34	58799	1118262	72.56	36900	22909	36329.5	13	28	0.0
