	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2169_HifiMAG	metabat2_39	bacteria_odb10	58.9	58.9	0.0	8.1	33.0	124	62335	62335	0.000%	43	56.79	1.12	Neural Network (Specific Model)	11	0.91	62335	293.1973484848485	2540763	0.67	2640	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_918698005.1, s__Microbacterium sp918698005, 95.0, 83.16, 0.269; GCF_007988825.1, s__Microbacterium aerolatum, 95.0, 82.78, 0.239; GCF_903645325.1, s__Microbacterium ihumii, 95.0, 82.58, 0.235; GCF_015277895.1, s__Microbacterium sp015277895, 95.0, 82.29, 0.231; GCF_014205075.1, s__Microbacterium ginsengiterrae, 95.0, 81.6, 0.173; GCF_014635185.1, s__Microbacterium murale, 95.0, 81.25, 0.188; GCF_024807145.1, s__Microbacterium sp024807145, 95.0, 80.95, 0.164; GCF_000763375.1, s__Microbacterium profundi, 95.0, 80.93, 0.167; GCF_030815955.1, s__Microbacterium murale_A, 95.0, 80.61, 0.159	55.51	11.0	0.99128		2621	2524	43	genus	0.73	0.71	0.6	0.03	0.06	0.81	0.57	False	43	43	43	43	43	20	2540763	2540763	2540763	2540763	2540763	1598794	43	178616	2540763	66.61	62335	37143	71837.6	15	36	0.0
1	bc2169_HifiMAG	semibin2_94_sub	bacteria_odb10	33.0	30.6	2.4	4.8	62.2	124	30322	30322	0.000%	46	18.15	3.64	Neural Network (Specific Model)	11	0.879	30322	299.6669428334714	1231065	0.65	1207	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter mucicolens	GCF_902859725.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter mucicolens	96.52	0.722	GCF_902859725.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter mucicolens	96.52	0.722	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023432075.1, s__Achromobacter sp023432075, 95.0, 92.9, 0.599; GCF_902859585.1, s__Achromobacter animicus, 95.0, 89.84, 0.574; GCF_002966795.1, s__Achromobacter spanius_D, 95.0, 89.5, 0.6; GCF_900156745.1, s__Achromobacter sp900156745, 95.0, 88.21, 0.496; GCA_003454835.1, s__Achromobacter sp003454835, 95.0, 87.5, 0.362; GCF_000236785.1, s__Achromobacter arsenitoxydans, 95.0, 87.01, 0.405; GCF_013116765.2, s__Achromobacter deleyi_A, 95.0, 86.4, 0.396; GCF_001428845.1, s__Achromobacter sp001428845, 95.0, 86.0, 0.374; GCF_016127315.1, s__Achromobacter insuavis_A, 95.0, 85.68, 0.289; GCF_902859695.1, s__Achromobacter ruhlandii, 95.0, 85.53, 0.259; GCF_013267355.1, s__Achromobacter pestifer_A, 95.0, 85.32, 0.296; GCF_003994415.1, s__Achromobacter spanius_C, 95.0, 85.28, 0.284; GCF_902859745.1, s__Achromobacter dolens, 95.0, 85.17, 0.264; GCF_029637605.1, s__Achromobacter spanius_E, 95.0, 85.06, 0.277; GCF_902859645.1, s__Achromobacter insuavis, 95.47, 85.01, 0.271; GCF_014170335.1, s__Achromobacter sp014170335, 95.0, 84.89, 0.309; GCF_000165835.1, s__Achromobacter xylosoxidans_B, 95.0, 84.87, 0.308; GCF_002975275.1, s__Achromobacter sp002975275, 95.0, 84.85, 0.296; GCF_900496975.1, s__Achromobacter veterisilvae, 95.0, 84.83, 0.262; GCF_903652925.1, s__Achromobacter anxifer, 95.0, 84.81, 0.279; GCF_001571365.1, s__Achromobacter denitrificans, 95.0, 84.77, 0.301; GCF_012928505.1, s__Achromobacter sp012928505, 95.0, 84.7, 0.286; GCF_001457475.1, s__Achromobacter xylosoxidans, 95.0, 84.66, 0.27; GCF_003600685.1, s__Achromobacter spanius_B, 95.0, 84.66, 0.268; GCF_002902905.1, s__Achromobacter sp002902905, 95.0, 84.64, 0.214; GCF_902859765.1, s__Achromobacter pulmonis, 95.0, 84.63, 0.233; GCF_002209535.1, s__Achromobacter marplatensis, 95.0, 84.61, 0.293; GCF_002192695.1, s__Achromobacter xylosoxidans_C, 95.0, 84.6, 0.299; GCF_002812705.1, s__Achromobacter spanius, 95.0, 84.6, 0.279; GCF_900496965.1, s__Achromobacter agilis, 95.0, 84.54, 0.268; GCF_014490035.1, s__Achromobacter bronchisepticus_A, 95.0, 84.49, 0.316; GCF_014170305.1, s__Achromobacter sp014170305, 95.0, 84.45, 0.245; GCF_002885955.2, s__Achromobacter pulmonis_A, 95.0, 84.38, 0.244; GCF_001571245.1, s__Achromobacter piechaudii, 95.0, 84.35, 0.29; GCF_902859705.1, s__Achromobacter deleyi, 95.0, 84.28, 0.258; GCF_000757485.1, s__Achromobacter sp000757485, 95.0, 84.12, 0.239; GCA_016428805.1, s__Achromobacter sp016428805, 95.0, 83.99, 0.234; GCF_902859595.1, s__Achromobacter kerstersii, 95.0, 83.93, 0.251; GCF_902859625.1, s__Achromobacter pestifer, 95.0, 83.86, 0.262; GCF_902859735.1, s__Achromobacter aegrifaciens, 95.0, 83.79, 0.311; GCF_002209555.1, s__Achromobacter insolitus, 95.0, 83.35, 0.253; GCF_030864005.1, s__Achromobacter sp030864005, 95.0, 83.22, 0.222; GCF_943737005.1, s__Achromobacter sp001270295, 95.0, 83.03, 0.189	28.6	11.0			1206	1180	46	order	0.95	0.93	0.48	0.04	0.08	0.87	0.81	False	46	46	46	45	25	1	1231065	1231065	1231065	1221799	859494	58158	46	58158	1231065	64.63	30322	16655	30555.6	17	38	0.0
2	bc2169_HifiMAG	semibin2_98_sub	bacteria_odb10	40.3	36.3	4.0	2.4	57.3	124	26986	26986	0.000%	57	29.37	2.92	Neural Network (Specific Model)	11	0.853	26986	279.1056383668179	1510150	0.72	1543	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900115005.1, s__Pseudonocardia ammonioxydans, 95.0, 91.59, 0.251; GCF_002813375.1, s__Pseudonocardia alni, 95.0, 87.96, 0.164; GCF_017876315.1, s__Pseudonocardia parietis, 95.0, 87.2, 0.207; GCF_003945385.1, s__Pseudonocardia autotrophica, 95.0, 86.68, 0.17	27.07	11.0	0.99063		1537	1485	57	genus	0.89	0.86	0.99	0.47	0.99	0.86	0.74	False	57	57	57	57	26	3	1510150	1510150	1510150	1510150	912657	195706	57	73638	1510150	71.8	26986	17954	31929.7	20	47	0.0
3	bc2169_HifiMAG	semibin2_99_sub	bacteria_odb10	42.7	38.7	4.0	4.8	52.5	124	29711	29711	0.000%	93	30.76	4.75	Neural Network (Specific Model)	11	0.856	29711	276.4737030411449	2697519	0.71	2795	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		35.51	11.0	0.93878		2762	2518	93	genus	0.82	0.74	0.92	0.59	2.63	0.83	0.62	False	93	93	93	91	50	7	2697519	2697519	2697519	2680888	1902718	505801	93	149817	2697519	70.54	29711	18512	39351.7	30	75	0.0
4	bc2169_lorbin	bin_19	bacteria_odb10	76.6	71.8	4.8	10.5	12.9	124	58401	58401	0.000%	81	80.03	10.94	Gradient Boost (General Model)	11	0.888	58401	282.35969738651994	4144911	0.65	4362	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	GCF_001463885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	97.74	0.716	GCF_001463885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	97.74	0.716	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014844055.1, s__Aureimonas altamirensis_A, 95.0, 91.34, 0.626; GCF_023702225.1, s__Aureimonas altamirensis_B, 95.0, 89.05, 0.567	68.76	11.0		Genome has more than 11.7% of markers with multiple hits	4352	4177	81	family	0.92	0.89	0.79	0.23	0.58	0.89	0.78	False	81	81	81	81	67	24	4144911	4144911	4144911	4144911	3869868	2268969	81	173955	4144911	64.52	58401	29040	76456.9	21	63	0.0
5	bc2169_lorbin	bin_30	bacteria_odb10	48.4	41.1	7.3	5.6	46.0	124	54874	54874	0.000%	54	44.47	4.74	Gradient Boost (General Model)	11	0.867	54874	306.7130281690141	2405185	0.72	2272	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Glycomyces;s__						GCF_000482705.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Glycomyces;s__Glycomyces arizonensis	88.13	0.474	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Glycomyces;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000427885.1, s__Glycomyces tenuis, 95.0, 88.15, 0.513; GCA_021793335.1, s__Glycomyces sp021793335, 95.0, 87.06, 0.33; GCF_022548875.1, s__Glycomyces sp022548875, 95.0, 84.18, 0.274; GCF_020991375.1, s__Glycomyces amatae, 95.0, 83.69, 0.258; GCF_000719515.1, s__Glycomyces sp000719515, 95.0, 82.86, 0.24; GCF_900101745.1, s__Glycomyces harbinensis, 95.0, 82.82, 0.229; GCF_019710475.1, s__Glycomyces sp019710475, 95.0, 82.79, 0.22; GCF_009451885.1, s__Glycomyces albidus, 95.0, 82.56, 0.216; GCF_016428645.1, s__Glycomyces salinus, 95.0, 82.54, 0.253; GCF_003933745.1, s__Glycomyces terrestris, 95.0, 82.53, 0.244; GCF_002798405.1, s__Glycomyces xiaoerkulensis, 95.0, 82.5, 0.249; GCF_004912155.1, s__Glycomyces paridis, 95.0, 82.5, 0.227; GCF_003002955.1, s__Glycomyces artemisiae, 95.0, 82.45, 0.204; GCF_003265355.1, s__Glycomyces dulcitolivorans, 95.0, 82.34, 0.22; GCF_004912275.1, s__Glycomyces buryatensis, 95.0, 82.25, 0.221; GCF_900102815.1, s__Glycomyces sambucus, 95.0, 82.22, 0.22; GCF_027622945.1, s__Glycomyces lechevalierae, 95.0, 82.21, 0.178; GCF_027622875.1, s__Glycomyces luteolus, 95.0, 82.2, 0.204; GCF_027622855.1, s__Glycomyces algeriensis, 95.0, 81.67, 0.195; GCF_030403505.1, s__Glycomyces tritici, 95.0, 81.61, 0.192; GCF_017592475.1, s__Glycomyces sp017592475, 95.0, 81.6, 0.19; GCF_016918015.1, s__Glycomyces sp016918015, 95.0, 81.43, 0.192	47.65	11.0	0.98268	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	2287	2204	54	genus	0.93	0.89	0.46	0.03	0.07	0.83	0.74	False	54	54	54	54	40	12	2405185	2405185	2405185	2405185	2138786	1261131	54	469386	2405185	72.09	54874	23894	130507.5	11	42	0.0
6	bc2169_lorbin	bin_37	bacteria_odb10	58.1	57.3	0.8	7.3	34.6	124	52652	52652	0.000%	43	58.15	0.89	Gradient Boost (General Model)	11	0.858	52652	289.8896987366375	2080439	0.67	2058	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella sp002261475	GCF_002261475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella sp002261475	97.37	0.835	GCF_002261475.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella sp002261475	97.37	0.835	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002261335.1, s__Bordetella sp002261335, 95.0, 86.45, 0.485; GCF_000662055.1, s__Bordetella bronchiseptica_F, 95.0, 81.56, 0.184; GCF_000306945.1, s__Bordetella pertussis, 95.0, 80.84, 0.169	54.7	11.0			2062	1971	43	order	0.96	0.92	0.82	0.02	0.05	0.81	0.74	False	43	43	43	43	36	14	2080439	2080439	2080439	2080439	1931046	1172974	43	170695	2080439	66.64	52652	27462	70572.6	12	34	0.0
7	bc2169_lorbin	bin_46	bacteria_odb10	25.0	25.0	0.0	2.4	72.6	124	36276	36276	0.000%	7	4.25	0.09	Neural Network (Specific Model)	11	0.884	36276	290.69458128078816	199731	0.69	203	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__						GCF_003945385.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia autotrophica	99.69	0.181	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		17.22	11.0	1.0	Genome domain questionable ( 17.5% Bacterial, 7.5% Archaeal)	202	188	7	order	0.95	0.88	0.65	0.42	1.28	0.73	0.64	False	7	7	7	7	4	0	199731	199731	199731	199731	141780	0	7	39911	199731	69.33	36276	18757	31329.2	3	6	0.0
8	bc2169_lorbin	bin_50	bacteria_odb10	23.4	23.4	0.0	4.8	71.8	124	49446	49446	0.000%	52	39.88	2.5	Neural Network (Specific Model)	11	0.829	49446	250.81569602272728	2540074	0.54	2816	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__						GCF_002810445.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__Advenella sp002810445	95.37	0.458	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004217095.1, s__Advenella incenata, 95.0, 86.84, 0.262; GCF_014897675.1, s__Advenella sp003533245, 95.0, 85.93, 0.268; GCA_023423975.1, s__Advenella sp023423975, 95.0, 84.72, 0.216; GCF_000219915.2, s__Advenella kashmirensis, 95.0, 84.11, 0.237; GCF_000521505.1, s__Advenella mimigardefordensis, 95.0, 81.9, 0.152	23.89	11.0	0.99316		2690	2239	52	order	0.85	0.71	0.84	0.23	0.55	0.82	0.58	False	52	52	52	52	39	9	2540074	2540074	2540074	2540074	2302928	1219656	52	324208	2540074	54.27	49446	25081	122518.5	11	39	0.0
9	bc2169_lorbin	bin_57	bacteria_odb10	31.4	29.8	1.6	4.8	63.8	124	34856	34856	0.000%	147	39.68	6.67	Gradient Boost (General Model)	11	0.854	34856	284.5281905149604	4891287	0.72	4913	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__;g__;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		34.44	11.0	0.67335		4821	4510	147	genus	0.76	0.71	0.96	0.51	1.87	0.9	0.64	False	147	147	147	145	91	16	4891287	4891287	4891287	4875490	3838864	1344912	147	369133	4891287	71.85	34856	20093	63277.8	43	116	0.0
