	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	bc2128_HifiMAG	semibin2_14_sub	bacteria_odb10	25.8	25.8	0.0	2.4	71.8	124	23369	23369	0.000%	53	16.02	0.22	Neural Network (Specific Model)	11	0.849	23369	311.9098143236074	1243402	0.72	1131	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__						GCF_006335015.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sedi	96.66	0.445	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900230195.1, s__Streptomyces zhaozhouensis, 95.0, 90.93, 0.364; GCF_003696235.1, s__Streptomyces triticirhizae, 95.0, 86.87, 0.221; GCF_000974485.1, s__Streptomyces sp000974485, 95.0, 83.8, 0.174; GCF_020740535.1, s__Streptomyces sp020740535, 95.0, 83.59, 0.186	23.79	11.0	0.99943		1128.0	1061.0	53.0	family	0.95	0.9	0.95	0.19	0.44	0.83	0.74	False	53	53	53	48	12	2	1243402	1243402	1243402	1199218	531725	198241	53	139867	1243402	72.07	23369	14507	38420.8	16	42	0.0
1	bc2128_lorbin	bin_6	bacteria_odb10	12.1	9.7	2.4	4.0	83.9	124	25538	25538	0.000%	86	21.75	1.97	Neural Network (Specific Model)	11	0.859	25538	305.6017163048965	2106413	0.69	1981	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_006335015.1, s__Streptomyces sedi, 95.0, 97.72, 0.37; GCF_900230195.1, s__Streptomyces zhaozhouensis, 95.0, 90.76, 0.228	13.72	11.0	0.99467		1948.0	1832.0	86.0	phylum	0.99	0.93	1.0	0.11	0.25	0.78	0.73	False	86	86	86	77	29	7	2106413	2106413	2106413	2032621	1167059	466449	86	88815	2106413	69.0	25538	14647	34635.4	25	66	0.0
2	bc2128_metawgs	bc2128_metaWGS_bin_167	bacteria_odb10	74.2	62.1	12.1	6.5	19.3	124	70501	70501	0.000%	122	68.5	4.69	Neural Network (Specific Model)	11	0.838	70501	303.75734578711814	5570144	0.7	5139	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__						GCF_000341085.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis ganjiahuensis	90.0	0.534	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_024134545.1, s__Nocardiopsis exhalans, 95.08, 87.5, 0.423; GCF_014201115.1, s__Nocardiopsis metallicus, 95.0, 87.32, 0.423; GCF_014651695.1, s__Nocardiopsis terrae, 95.0, 85.9, 0.354; GCF_000341265.1, s__Nocardiopsis prasina, 95.0, 85.86, 0.359; GCA_018388625.1, s__Nocardiopsis eucommiae, 95.0, 85.85, 0.349; GCF_020741345.1, s__Nocardiopsis listeri_A, 95.0, 83.71, 0.196; GCF_018207095.1, s__Nocardiopsis sp018207095, 95.0, 83.58, 0.241; GCF_000341225.1, s__Nocardiopsis alba, 95.0, 83.52, 0.226; GCF_900143625.1, s__Nocardiopsis sp900143625, 95.0, 83.06, 0.224; GCF_001570765.1, s__Nocardiopsis listeri, 95.0, 82.78, 0.212; GCF_000341005.1, s__Nocardiopsis alkaliphila, 95.0, 82.48, 0.178; GCF_000341065.1, s__Nocardiopsis halotolerans, 95.0, 82.44, 0.151; GCF_001905145.1, s__Nocardiopsis sp001905145, 95.0, 82.43, 0.181; GCF_000092985.1, s__Nocardiopsis dassonvillei, 95.0, 82.42, 0.177; GCF_030555055.1, s__Nocardiopsis sp030555055, 95.0, 82.41, 0.153; GCF_012396365.1, s__Nocardiopsis alborubida, 95.0, 82.39, 0.176; GCF_001279585.1, s__Nocardiopsis sp001279585, 95.0, 82.38, 0.15; GCF_009830945.1, s__Nocardiopsis sp009830945, 95.0, 82.34, 0.157; GCF_013410755.1, s__Nocardiopsis aegyptia, 95.0, 82.33, 0.156; GCA_002529455.1, s__Nocardiopsis fusca, 95.0, 82.26, 0.178; GCA_000340945.1, s__Nocardiopsis synnemataformans, 95.0, 82.22, 0.169; GCF_003634495.1, s__Nocardiopsis sp003634495, 95.0, 82.21, 0.159; GCF_026642255.1, s__Nocardiopsis nanhaiensis_A, 95.0, 82.15, 0.188; GCF_008638365.1, s__Nocardiopsis quinghaiensis, 95.0, 82.15, 0.169; GCF_008638415.1, s__Nocardiopsis sinuspersici, 95.0, 82.02, 0.166	64.25	11.0	0.9948	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	5083.0	4900.0	122.0	genus	0.96	0.92	0.84	0.08	0.18	0.87	0.8	False	122	122	122	112	79	40	5570144	5570144	5570144	5486371	4913690	3541304	122	255517	5570144	69.86	70501	23122	78022.9	28	84	0.0
3	bc2126_HifiMAG	complete_18	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	3740568	3740568	0.000%	1	100.0	0.05	Neural Network (Specific Model)	11	0.876	3740568	290.8650013287271	3740568	0.41	3763	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	GCF_000691145.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	98.47	0.953	GCF_000691145.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	98.47	0.953	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000300535.1, s__Bacillus xiamenensis, 95.0, 91.67, 0.838; GCF_014764715.1, s__Bacillus sp014764715, 95.0, 90.66, 0.813; GCF_000715205.1, s__Bacillus zhangzhouensis, 95.0, 90.56, 0.83; GCF_024498355.1, s__Bacillus pumilus_P, 95.0, 90.49, 0.805; GCF_002744245.1, s__Bacillus pumilus_M, 95.0, 90.21, 0.775; GCF_900186955.1, s__Bacillus pumilus, 95.0, 90.02, 0.812; GCF_000691165.1, s__Bacillus safensis, 95.0, 90.01, 0.797; GCF_020524495.1, s__Bacillus stratosphericus_B, 95.0, 89.88, 0.693; GCF_003431975.1, s__Bacillus pumilus_N, 95.0, 89.86, 0.789; GCF_002998085.1, s__Bacillus sp002998085, 95.0, 89.76, 0.809; GCF_001307105.1, s__Bacillus australimaris, 95.0, 89.74, 0.816; GCF_025809375.1, s__Bacillus zhangzhouensis_A, 95.0, 89.6, 0.753; GCA_030159235.1, s__Bacillus safensis_B, 95.0, 89.59, 0.788; GCF_009937765.1, s__Bacillus pumilus_O, 95.0, 89.47, 0.775; GCA_001938995.1, s__Bacillus pumilus_G, 95.0, 86.57, 0.624	97.02	11.0			3781.0	3706.0	1.0	kingdom	1.0	0.98	0.0	0.0	0.0	0.9	0.88	True	1	1	1	1	1	1	3740568	3740568	3740568	3740568	3740568	3740568	1	3740568	3740568	41.37	3740568	3740568	3740568.0	1	1	0.0
4	bc2126_HifiMAG	complete_19	bacteria_odb10	100.0	96.8	3.2	0.0	0.0	124	7042110	7042110	0.000%	1	100.0	0.21	Neural Network (Specific Model)	11	0.871	7042110	338.1275189957053	7042110	0.73	6054	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces albidoflavus	GCF_000719955.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces albidoflavus	98.8	0.923	GCF_000719955.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces albidoflavus	98.8	0.923	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_011170125.1, s__Streptomyces diastaticus, 95.0, 91.83, 0.697	95.37	11.0			6074.0	6028.0	1.0	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.96	True	1	1	1	1	1	1	7042110	7042110	7042110	7042110	7042110	7042110	1	7042110	7042110	73.33	7042110	7042110	7042110.0	1	1	0.0
5	bc2126_HifiMAG	complete_7	bacteria_odb10	100.0	98.4	1.6	0.0	0.0	124	8226344	8226344	0.000%	1	100.0	0.02	Neural Network (Specific Model)	11	0.887	8226344	351.6329387990762	8226344	0.73	6928	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces olivaceus	GCF_000721235.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces olivaceus	98.22	0.897	GCF_000721235.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces olivaceus	98.22	0.897	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018982965.1, s__Streptomyces sp018982965, 95.0, 93.01, 0.726; GCF_003112595.1, s__Streptomyces rubrogriseus, 95.18, 89.98, 0.569; GCF_000717995.1, s__Streptomyces violaceorubidus, 95.0, 89.98, 0.555; GCF_002939385.1, s__Streptomyces sp002939385, 95.0, 89.96, 0.561; GCF_027947595.1, s__Streptomyces lienomycini, 95.0, 89.93, 0.591; GCA_000720845.1, s__Streptomyces sp000720845, 95.0, 89.89, 0.556; GCF_020404845.1, s__Streptomyces hyderabadensis, 95.0, 89.81, 0.557; GCF_003369795.1, s__Streptomyces sp003369795, 95.0, 89.76, 0.56; GCF_014280945.1, s__Streptomyces salinarius, 95.0, 89.73, 0.536; GCF_014651155.1, s__Streptomyces anthocyanicus, 96.85, 89.72, 0.556; GCA_001517125.1, s__Streptomyces canus_D, 95.0, 89.66, 0.534; GCF_003112555.1, s__Streptomyces coelicoflavus, 95.0, 89.65, 0.558; GCF_003112575.1, s__Streptomyces ardesiacus, 95.0, 89.62, 0.565; GCF_004364245.1, s__Streptomyces sp004364245, 95.0, 89.59, 0.552; GCF_014650435.1, s__Streptomyces tendae, 95.0, 89.4, 0.567; GCF_003947455.1, s__Streptomyces sp003947455, 95.0, 89.38, 0.518; GCF_019049325.1, s__Streptomyces sp019049325, 95.0, 89.15, 0.553; GCF_002155895.1, s__Streptomyces rochei, 95.0, 89.14, 0.475; GCF_014648855.1, s__Streptomyces parvulus, 95.0, 89.04, 0.537; GCF_003671715.1, s__Streptomyces sp003671715, 95.0, 88.94, 0.506; GCF_028473745.1, s__Streptomyces sp001905385, 95.0, 88.77, 0.511; GCF_014649815.1, s__Streptomyces mutabilis, 95.0, 88.72, 0.489; GCF_002005225.1, s__Streptomyces pactum_A, 95.0, 88.66, 0.485; GCF_029813785.1, s__Streptomyces sp029813785, 95.0, 88.65, 0.509; GCF_009862125.1, s__Streptomyces sp009862125, 95.0, 88.59, 0.418; GCF_014648815.1, s__Streptomyces flaveolus, 95.0, 88.37, 0.461; GCF_002005565.1, s__Streptomyces sp002005565, 95.0, 88.36, 0.462; GCF_001267885.1, s__Streptomyces ambofaciens, 95.0, 88.23, 0.471; GCF_014650995.1, s__Streptomyces viridiviolaceus, 95.0, 86.97, 0.394; GCF_014534645.1, s__Streptomyces griseicoloratus, 95.0, 86.48, 0.397; GCF_002114215.1, s__Streptomyces sp002114215, 95.36, 86.35, 0.264; GCA_003248315.1, s__Streptomyces sp003248315, 95.0, 86.08, 0.361; GCF_014655295.1, s__Streptomyces fumanus, 95.0, 85.96, 0.323; GCF_002078235.1, s__Streptomyces viridosporus, 95.0, 85.73, 0.266; GCF_018614415.1, s__Streptomyces sp018614415, 95.0, 85.69, 0.323; GCF_011008945.1, s__Streptomyces harenosi, 95.0, 85.69, 0.289; GCF_010548465.1, s__Streptomyces sp010548465, 95.0, 85.6, 0.28; GCF_002910825.1, s__Streptomyces sp002910825, 95.0, 85.56, 0.245; GCF_018069565.1, s__Streptomyces sp018069565, 95.0, 85.52, 0.352; GCF_001293595.1, s__Streptomyces sp001293595, 95.0, 85.42, 0.353; GCF_014649155.1, s__Streptomyces griseoviridis, 95.0, 85.42, 0.325; GCF_031181555.1, s__Streptomyces sp031181555, 95.0, 85.38, 0.307; GCF_025290915.1, s__Streptomyces sp025290915, 95.0, 85.34, 0.297; GCA_002154585.1, s__Streptomyces pseudogriseolus, 95.0, 85.28, 0.276; GCF_031181705.1, s__Streptomyces sp031181705, 95.0, 85.15, 0.347; GCF_000931445.1, s__Streptomyces cyaneogriseus, 95.0, 85.14, 0.319; GCF_007829875.1, s__Streptomyces capillispiralis, 95.0, 85.13, 0.308; GCF_001279005.1, s__Streptomyces caelestis_A, 95.0, 85.09, 0.278; GCF_009852415.1, s__Streptomyces sp009852415, 95.0, 85.06, 0.307; GCF_000721605.1, s__Streptomyces sp000721605, 95.0, 84.96, 0.296; GCF_001013905.1, s__Streptomyces leeuwenhoekii, 96.89, 84.95, 0.306; GCF_029813775.1, s__Streptomyces sp029813775, 95.0, 84.93, 0.308; GCF_014203535.1, s__Streptomyces griseostramineus, 95.0, 84.91, 0.286; GCF_002148965.1, s__Streptomyces swartbergensis, 95.0, 84.9, 0.265; GCF_003330845.1, s__Streptomyces sp003330845, 95.0, 84.85, 0.275; GCF_003665435.1, s__Streptomyces fungicidicus, 95.0, 84.75, 0.309; GCF_014205255.1, s__Streptomyces caelestis, 95.0, 84.74, 0.265; GCF_009862265.1, s__Streptomyces sp009862265, 95.0, 84.72, 0.244; GCF_001905725.1, s__Streptomyces sp001905725, 95.0, 84.71, 0.304; GCA_014647975.1, s__Streptomyces fumigatiscleroticus, 95.0, 84.71, 0.304; GCF_014649835.1, s__Streptomyces pilosus, 95.0, 84.7, 0.294; GCF_014649995.1, s__Streptomyces griseoflavus, 95.0, 84.7, 0.293; GCF_008705135.1, s__Streptomyces coeruleorubidus, 95.0, 84.68, 0.278; GCF_006782915.1, s__Streptomyces calvus, 95.0, 84.66, 0.29; GCF_000725125.1, s__Streptomyces toyocaensis, 95.0, 84.65, 0.285; GCF_002150735.1, s__Streptomyces africanus, 95.0, 84.6, 0.258; GCF_008312835.1, s__Streptomyces marokkonensis, 95.0, 84.59, 0.285; GCF_019049255.1, s__Streptomyces sp019049255, 95.0, 84.58, 0.304; GCF_028885415.1, s__Streptomyces coeruleorubidus_A, 95.0, 84.58, 0.266; GCF_900236475.1, s__Streptomyces chartreusis_D, 95.0, 84.55, 0.282; GCA_018195615.1, s__Streptomyces tuirus_A, 95.0, 84.55, 0.261; GCA_020873915.1, s__Streptomyces sp020873915, 95.0, 84.49, 0.284; GCA_014650015.1, s__Streptomyces griseoloalbus, 95.0, 84.48, 0.305; GCF_000718785.1, s__Streptomyces sp000718785, 95.0, 84.43, 0.283; GCA_014650055.1, s__Streptomyces malachitofuscus, 95.0, 84.39, 0.288; GCA_014650475.1, s__Streptomyces albogriseolus, 95.0, 84.34, 0.271; GCF_015712165.1, s__Streptomyces spinoverrucosus_A, 95.0, 84.3, 0.248; GCF_000415505.1, s__Streptomyces afghaniensis, 95.0, 84.26, 0.274; GCA_014656175.1, s__Streptomyces werraensis, 95.0, 84.2, 0.295; GCA_014649355.1, s__Streptomyces althioticus, 95.0, 84.2, 0.288; GCF_000158955.1, s__Streptomyces viridochromogenes_B, 95.0, 84.19, 0.262; GCF_002899455.1, s__Streptomyces sp002899455, 95.0, 84.17, 0.269; GCA_014649575.1, s__Streptomyces griseoincarnatus, 95.11, 84.14, 0.292; GCF_014651075.1, s__Streptomyces djakartensis, 95.0, 84.14, 0.262; GCF_014651035.1, s__Streptomyces lomondensis, 95.0, 84.11, 0.274; GCA_014655195.1, s__Streptomyces cellulosae, 95.0, 84.09, 0.266; GCF_001270025.1, s__Streptomyces azureus, 95.0, 84.09, 0.261; GCF_018070565.1, s__Streptomyces sp018070565, 95.0, 84.07, 0.258; GCF_002237655.1, s__Streptomyces sp002237655, 95.0, 84.06, 0.276; GCA_000696115.1, s__Streptomyces olindensis, 95.0, 83.99, 0.269; GCF_011193355.1, s__Streptomyces sp011193355, 95.0, 83.98, 0.275; GCF_030386795.1, s__Streptomyces sp030386795, 95.0, 83.94, 0.279; GCF_002920535.1, s__Streptomyces sp002920535, 95.0, 83.94, 0.249; GCF_012034205.1, s__Streptomyces composti, 95.0, 83.93, 0.287; GCF_014495685.1, s__Streptomyces sp014495685, 95.0, 83.88, 0.236; GCF_000717875.1, s__Streptomyces sp000717875, 95.0, 83.85, 0.25; GCA_000715605.1, s__Streptomyces speibonae, 95.0, 83.83, 0.188; GCF_902506575.1, s__Streptomyces mexicanus, 95.0, 83.55, 0.224; GCF_012034235.1, s__Streptomyces thermoviolaceus, 95.0, 82.92, 0.242	96.11	11.0			6935.0	6897.0	1.0	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True	1	1	1	1	1	1	8226344	8226344	8226344	8226344	8226344	8226344	1	8226344	8226344	72.58	8226344	8226344	8226344.0	1	1	0.0
6	bc2126_HifiMAG	semibin2_0	bacteria_odb10	96.8	96.8	0.0	0.0	3.2	124	830848	830848	0.000%	9	86.4	0.48	Neural Network (Specific Model)	11	0.881	830848	315.51059419622294	4658002	0.58	4342	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium cavarae	GCF_004310285.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium cavarae	96.06	0.832	GCF_004310285.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium cavarae	96.06	0.832	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943908365.1, s__Agrobacterium sp943908365, 95.0, 94.08, 0.769; GCF_030819275.1, s__Agrobacterium larrymoorei_B, 95.0, 89.99, 0.697; GCF_913777615.1, s__Agrobacterium sp913777615, 95.0, 87.56, 0.528; GCF_005145045.1, s__Agrobacterium larrymoorei, 95.0, 82.12, 0.232	94.24	11.0			4335.0	4260.0	9.0	genus	0.97	0.95	0.05	0.07	0.15	0.96	0.91	True	9	9	9	9	9	9	4658002	4658002	4658002	4658002	4658002	4658002	9	1754479	4658002	58.11	830848	233788	959451.6	2	7	0.0
7	bc2126_HifiMAG	semibin2_1	bacteria_odb10	83.9	83.9	0.0	6.5	9.6	124	67552	67552	0.000%	78	79.99	0.0	Neural Network (Specific Model)	11	0.842	67552	282.7074913750616	4079092	0.7	4058	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium salsuginis	GCF_900114375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium salsuginis	98.5	0.902	GCF_900114375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium salsuginis	98.5	0.902	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001425465.1, s__Methylobacterium sp001425465, 95.0, 91.05, 0.673; GCF_014199935.1, s__Methylobacterium rhodinum, 95.0, 90.78, 0.627; GCF_022179765.1, s__Methylobacterium suomiense, 95.0, 87.21, 0.492; GCF_022179745.1, s__Methylobacterium podarium, 95.0, 86.07, 0.311; GCA_023422485.1, s__Methylobacterium sp023422485, 95.0, 86.04, 0.221; GCF_002355515.1, s__Methylobacterium populi_A, 95.0, 85.57, 0.346; GCF_014138645.1, s__Methylobacterium thiocyanatum, 95.0, 85.47, 0.36; GCF_920984675.1, s__Methylobacterium sp920984675, 95.0, 85.46, 0.389; GCF_001423405.1, s__Methylobacterium sp001423405, 95.0, 85.16, 0.333; GCF_900234795.1, s__Methylobacterium extorquens, 95.0, 85.15, 0.333; GCF_022179725.1, s__Methylobacterium aminovorans, 95.0, 85.09, 0.338; GCF_003201865.1, s__Methylobacterium sp003201865, 95.0, 85.06, 0.348; GCF_014199985.1, s__Methylobacterium rhodesianum, 95.0, 85.06, 0.331; GCF_021117295.1, s__Methylobacterium sp021117295, 95.0, 84.98, 0.333; GCF_024169925.1, s__Methylobacterium extorquens_A, 95.0, 84.87, 0.328; GCF_001542815.1, s__Methylobacterium sp001542815, 95.0, 84.75, 0.326; GCF_014191355.1, s__Methylobacterium sp014191355, 95.0, 84.48, 0.306; GCA_020741775.1, s__Methylobacterium populi_B, 95.0, 84.28, 0.292; GCF_014845115.1, s__Methylobacterium zatmanii, 95.0, 84.11, 0.288; GCF_022179465.1, s__Methylobacterium organophilum, 95.0, 82.59, 0.199; GCF_022179285.1, s__Methylobacterium hispanicum, 95.0, 81.96, 0.164; GCF_003173735.1, s__Methylobacterium radiodurans, 95.0, 81.77, 0.153; GCF_902141855.1, s__Methylobacterium dankookense, 95.0, 81.69, 0.16	85.22	11.0			4089.0	3960.0	78.0	genus	0.97	0.94	0.11	0.1	0.21	0.96	0.91	True	78	78	78	78	59	33	4079092	4079092	4079092	4079092	3714488	2743777	78	174827	4079092	69.64	67552	25913	74287.7	21	58	0.0
8	bc2126_HifiMAG	semibin2_2	bacteria_odb10	56.4	55.6	0.8	8.9	34.7	124	30674	30674	0.000%	125	52.81	0.68	Neural Network (Specific Model)	11	0.872	30674	270.8009617953513	3474673	0.47	3743	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus porteri	GCF_003013475.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus porteri	95.17	0.869						d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_003013475.1, s__Brevibacillus porteri, 95.0, 95.17, 0.869; GCF_013284245.2, s__Brevibacillus sp000282075, 95.0, 94.62, 0.902; GCF_001039275.2, s__Brevibacillus brevis_C, 95.0, 93.84, 0.844; GCF_900637055.1, s__Brevibacillus brevis, 95.0, 93.46, 0.842; GCF_005217615.1, s__Brevibacillus antibioticus, 95.0, 93.21, 0.804; GCF_003013405.1, s__Brevibacillus formosus, 95.0, 93.14, 0.833; GCF_000010165.1, s__Brevibacillus brevis_D, 95.0, 92.86, 0.841; GCF_022026395.1, s__Brevibacillus sp013284355, 95.0, 92.84, 0.846; GCF_003013395.1, s__Brevibacillus fortis, 95.0, 92.38, 0.836	57.56	11.0			3724.0	3607.0	125.0	genus	0.98	0.95	0.09	0.07	0.14	0.92	0.88	True	125	125	125	123	61	10	3474673	3474673	3474673	3458470	2285174	559919	125	65912	3474673	47.24	30674	17851	33194.8	42	100	0.0
9	bc2126_HifiMAG	semibin2_5	bacteria_odb10	4.0	4.0	0.0	7.3	88.7	124	3971501	3971501	0.000%	7	0.14	8.77	Neural Network (Specific Model)	4	0.723	3971501	184.4385864542534	17120138	0.47	22723	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (8.2%)	14994.0	2978.0	7.0	kingdom	1.0	0.2	0.0	0.06	0.14	0.4	0.08	True	7	7	7	7	6	5	17120138	17120138	17120138	17120138	17107815	17080432	7	5243422	17120138	46.89	3971501	1716926	3868640.1	2	5	0.0
